std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
1,20,2,0.0020679339941125363,0.00024161400506272912,0.004239067988237366,0.00019354899995960295,0.001408919008099474,0.00165443099103868,0.0028620670054806396,2519,2833,2727,370,378,393
1,20,2,0.00021782200201414526,0.00015885299944784492,0.0004454930021893233,0.00010391901014372706,0.00011482799891382456,0.00039744899549987167,0.00048213200352620333,2519,2833,2727,370,378,393
1,20,3,0.0004884139925707132,0.00021464900055434555,0.0008199169969884679,0.00011990100028924644,0.00025771401124075055,0.005897829003515653,0.0013173339975764975,4484,5712,5860,1216,1467,1543
1,20,3,0.00018039900169242173,0.00019605499983299524,0.0009012450027512386,0.00016690899792592973,0.00027310699806548655,0.0008443149999948218,0.000992784000118263,4484,5712,5860,1216,1467,1543
1,30,2,0.00015772100596223027,0.0008145359897753224,0.0024411689955741167,0.00015890199574641883,0.0005509530019480735,0.005380407004849985,0.009473452009842731,18260,12620,12840,1033,903,974
1,30,2,0.00015358900418505073,0.0004227070021443069,0.002288752992171794,0.0001541759993415326,0.0003386109892744571,0.001412767989677377,0.0014402759989025071,18260,12620,12840,1033,903,974
1,30,3,0.00015478499699383974,0.001976395011297427,0.05415569899196271,0.00017663899052422494,0.0035314999986439943,0.05366340099135414,0.05800819800060708,186694,255480,250296,10121,11292,14193
1,30,3,0.00028867399669252336,0.0020357640023576096,0.023376965007628314,0.00016165600391104817,0.00241758199990727,0.03199360899452586,0.03307975899951998,186694,255480,250296,10121,11292,14193
2,20,2,0.00035748699156101793,0.0001613469939911738,0.0005343459924915805,7.690499478485435e-05,0.00014797699986957014,0.0006398280092980713,0.0006889880023663864,3912,4720,4561,432,455,468
2,20,2,0.0001417760067852214,0.00014801400538999587,0.00048366200644522905,7.774200639687479e-05,0.00035757399746216834,0.0005043220007792115,0.0005016430077375844,3912,4720,4561,432,455,468
2,20,3,7.365598867181689e-05,0.0002870370080927387,0.0015133859997149557,7.664599979761988e-05,0.000453765009297058,0.001867094004410319,0.0023255050036823377,12874,16248,16234,1922,2155,2431
2,20,3,0.00014324499352369457,0.00032435799948871136,0.0014962379937060177,8.440300007350743e-05,0.00035093098995275795,0.0021779779926873744,0.00242529901152011,12874,16248,16234,1922,2155,2431
2,30,2,0.00017954800568986684,0.0005100120033603162,0.003865776991005987,0.00018344400450587273,0.000487765995785594,0.003222130995709449,0.002819606990669854,31542,32437,32480,1120,1150,1263
2,30,2,0.0002536100073484704,0.000549809992662631,0.003562347003025934,0.00017463999392930418,0.0004894269950455055,0.0038902579981368035,0.003186375994118862,31542,32437,32480,1120,1150,1263
2,30,3,0.00017898798978421837,0.0022113759914645925,0.024481287007802166,0.0002050949988188222,0.0023636669939151034,0.02153655698930379,0.01802597800269723,158886,160100,162709,10280,10244,11811
2,30,3,0.00026103299751412123,0.0016891550039872527,0.017696338007226586,0.00014885200653225183,0.0017247950017917901,0.02047697699163109,0.018216858006780967,158886,160100,162709,10280,10244,11811
0.1,20,2,0.00012053300451952964,0.00017172998923342675,0.0019773980020545423,0.00014643100439570844,0.00017757700697984546,0.0005309199914336205,0.0005483779968926683,3679,4134,4106,421,435,437
0.1,20,2,0.0001437110040569678,0.00012534800043795258,0.000431250999099575,5.8003002777695656e-05,0.00013798699364997447,0.0004613190103555098,0.00047162699047476053,3679,4134,4106,421,435,437
0.1,20,3,6.397499237209558e-05,0.0004609059978974983,0.003021373995579779,0.0002114870003424585,0.0005555070092668757,0.0032728650112403557,0.00302589000784792,17904,16402,19141,2359,2483,2776
0.1,20,3,0.0001582080003572628,0.0003517729928717017,0.002251996993436478,0.00014182399900164455,0.00035764899803325534,0.00211505799961742,0.0025674460048321635,17904,16402,19141,2359,2483,2776
0.1,30,2,0.0001524419931229204,0.0003726410068338737,0.0016484040097566321,9.98190080281347e-05,0.00040089100366458297,0.002119759999914095,0.0038147610030137002,17004,18790,20739,988,1028,1184
0.1,30,2,0.00015368200547527522,0.00037058399175293744,0.0019659520039567724,0.0002827520074788481,0.0005526710010599345,0.0025217459915438667,0.0025910580006893724,17004,18790,20739,988,1028,1184
0.1,30,3,0.00014360900968313217,0.0018819739925675094,0.028877819000626914,0.00015069499204400927,0.002429643995128572,0.01881342699925881,0.033470195994596,197939,135470,191427,10316,9960,12365
0.1,30,3,0.00027182299527339637,0.001925128002767451,0.02492337800504174,0.00015687399718444794,0.00202066900965292,0.017540294997161254,0.035382704008952715,197939,135470,191427,10316,9960,12365
0.2,20,2,0.0003011820081155747,0.00014712499978486449,0.0008269469981314614,0.00012222799705341458,0.00014261600153986365,0.0005068460013717413,0.0006484110053861514,3699,4366,4446,402,431,459
0.2,20,2,7.904200174380094e-05,0.00012668498675338924,0.00044529901060741395,5.875500210095197e-05,0.00013216999650467187,0.0006165360100567341,0.0005398369976319373,3699,4366,4446,402,431,459
0.2,20,3,0.00014349700359161943,0.00032746000215411186,0.0012931620003655553,8.050999895203859e-05,0.0003161470085615292,0.0018964579940075055,0.002090781999868341,10751,13453,13702,1928,2139,2279
0.2,20,3,0.00013764800678472966,0.0002962540020234883,0.0013169269950594753,0.00014814500173088163,0.0004111519956495613,0.001994420003029518,0.0019478119938867167,10751,13453,13702,1928,2139,2279
0.2,30,2,0.00012290199811104685,0.000352221992216073,0.0019911269919248298,0.000137000999529846,0.0003642920055426657,0.0019189029990229756,0.001684290007688105,16544,18875,19379,936,976,1061
0.2,30,2,0.0002380840014666319,0.00036418500530999154,0.001751428993884474,0.00011170300422236323,0.0003560309996828437,0.0018519540026318282,0.0017897349898703396,16544,18875,19379,936,976,1061
0.2,30,3,0.00010679400293156505,0.0013802559988107532,0.009443062997888774,0.0001418839965481311,0.001666206997469999,0.012339560998952948,0.01737081901228521,79360,97924,106002,8089,9012,10040
0.2,30,3,0.00026822599465958774,0.0013916199968662113,0.010404358006780967,0.0001337189896730706,0.0017050360038410872,0.01189267799782101,0.01618691999465227,79360,97924,106002,8089,9012,10040
