std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.001,20,2,8.449889719486237e-05,0.00021306052803993225,0.0008668620139360428,5.944259464740753e-05,0.0001744478940963745,0.0007643420249223709,0.0004913471639156342,5435,5435,5435,462,462,462
0.001,20,2,5.681440234184265e-05,0.00016586296260356903,0.0006112400442361832,5.336850881576538e-05,0.00016712024807929993,0.0006029587239027023,0.00036528147757053375,5435,5435,5435,462,462,462
0.001,20,2,0.00011450424790382385,0.000165499746799469,0.0006095096468925476,5.283951759338379e-05,0.00016542337834835052,0.000598536804318428,0.00036330893635749817,5435,5435,5435,462,462,462
0.001,20,2,5.875900387763977e-05,0.00016574934124946594,0.0006020814180374146,5.244649946689606e-05,0.0001721493899822235,0.0005958117544651031,0.00036591291427612305,5435,5435,5435,462,462,462
0.001,20,2,5.307421088218689e-05,0.00016414374113082886,0.0006067883223295212,5.233846604824066e-05,0.0001650787889957428,0.0005915984511375427,0.0003673899918794632,5435,5435,5435,462,462,462
0.001,20,2,5.272030830383301e-05,0.00016599148511886597,0.0006097592413425446,5.198642611503601e-05,0.0001661740243434906,0.0005944501608610153,0.0003604423254728317,5435,5435,5435,462,462,462
0.001,20,2,5.286559462547302e-05,0.00016538798809051514,0.0006088521331548691,5.196407437324524e-05,0.00016593188047409058,0.0005987919867038727,0.0003606881946325302,5435,5435,5435,462,462,462
0.001,20,2,5.2580609917640686e-05,0.00016910582780838013,0.0006051566451787949,5.145743489265442e-05,0.00017075985670089722,0.000589761883020401,0.0003665704280138016,5435,5435,5435,462,462,462
0.001,20,2,5.315057933330536e-05,0.00016409717500209808,0.0006082374602556229,5.184486508369446e-05,0.000164862722158432,0.0005907844752073288,0.00036717019975185394,5435,5435,5435,462,462,462
0.001,20,2,5.3025782108306885e-05,0.0001646876335144043,0.0006089862436056137,5.192682147026062e-05,0.00016548112034797668,0.0005991645157337189,0.000362299382686615,5435,5435,5435,462,462,462
0.001,20,2,5.338899791240692e-05,0.000163983553647995,0.0006169416010379791,5.249492824077606e-05,0.00016630999743938446,0.000596633180975914,0.0003607403486967087,5435,5435,5435,462,462,462
0.001,20,2,0.00011490471661090851,0.00016455911099910736,0.0006033629179000854,5.1958486437797546e-05,0.00017067976295948029,0.0005918797105550766,0.00036636367440223694,5435,5435,5435,462,462,462
0.001,20,2,5.307421088218689e-05,0.00016516074538230896,0.0006080120801925659,5.2172690629959106e-05,0.00016485154628753662,0.0005920212715864182,0.0003672409802675247,5435,5435,5435,462,462,462
